CustomerID;Gender;Senior_Citizen;Partner;Dependents;Tenure_Months;Phone_Service;Multiple_Lines;Internet_Service;Online_Security;Online_Backup;Device_Protection;Tech_Support;Streaming_TV;Streaming_Movies;Contract;Paperless_Billing;Payment_Method;Monthly_Charges;Total_Charges;Churn_Label;Churn_Value;Churn_Reason
5774;Female;No;Yes;Yes;71;;No phone service;DSL;Yes;Yes;No;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);59,7;4122,65;No;0;
6033;;No;No;Yes;44;;Yes;DSL;No;Yes;No;No;Yes;Yes;One year;Yes;Mailed check;77,55;3471,1;No;0;
1080;Female;No;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,75;706,6;Yes;1;Competitor made better offer
1054;Female;No;No;No;4;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;Yes;Month-to-month;Yes;Electronic check;93,5;362,2;Yes;1;Limited range of services
809;Male;No;No;No;3;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);105,35;323,25;Yes;1;Don't know
3430;Male;No;No;No;31;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;80,45;2429,1;No;0;
40;;Yes;Yes;No;58;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;45,3;2651,2;Yes;1;Service dissatisfaction
1446;Male;No;Yes;No;49;No;No phone service;DSL;No;Yes;No;No;Yes;Yes;One year;Yes;Bank transfer (automatic);51,8;2541,25;Yes;1;Moved
1714;Male;Yes;Yes;No;40;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;101,85;4086,3;Yes;1;Don't know
6546;Female;;No;No;68;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Two year;No;Credit card (automatic);110,25;7279,35;No;0;
1337;Male;No;No;No;6;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);30,5;208,7;Yes;1;Attitude of service provider
6016;Female;No;Yes;No;22;Yes;No;DSL;No;Yes;Yes;No;No;No;Month-to-month;Yes;Mailed check;54,7;1178,75;No;0;
3398;Male;Yes;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Credit card (automatic);84,1;5981,65;No;0;
6251;Male;No;Yes;Yes;72;Yes;No;DSL;Yes;Yes;No;Yes;Yes;No;Two year;No;Bank transfer (automatic);68,4;4855,35;No;0;
6490;Female;No;Yes;Yes;21;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;44,95;926,25;No;0;
4130;Female;No;No;No;37;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,05;3810,55;No;0;
6536;Male;No;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;104,1;5135,15;No;0;
4416;;;Yes;;52;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;One year;Yes;Credit card (automatic);95,7;4976,15;No;0;
47;;No;No;Yes;13;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;79,25;1111,65;Yes;1;Price too high
3173;Female;;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;45,4;80,95;No;0;
2074;Male;No;Yes;No;57;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Two year;Yes;Electronic check;59,75;3450,15;No;0;
2679;Male;No;Yes;Yes;67;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;No;No;One year;No;Electronic check;89,55;6038,55;No;0;
5633;Female;No;Yes;Yes;28;Yes;No;Fiber optic;Yes;No;No;No;No;Yes;One year;Yes;Bank transfer (automatic);82,85;2320,8;No;0;
1434;Female;No;No;No;13;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;31,05;347,25;Yes;1;Don't know
208;;No;Yes;No;60;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;One year;No;Electronic check;90,95;5453,4;Yes;1;Moved
2685;;No;Yes;No;9;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;79,75;769,1;No;0;
2176;Female;No;Yes;No;29;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,95;2149,05;No;0;
2441;;No;No;No;66;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);19,7;1253,8;No;0;
2708;Female;Yes;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);114,65;8333,95;No;0;
5614;Female;;Yes;Yes;67;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;No;Yes;One year;Yes;Bank transfer (automatic);100,25;6689;No;0;
540;Female;No;Yes;No;15;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;88,15;1390,6;Yes;1;Product dissatisfaction
3344;Female;Yes;No;No;9;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Credit card (automatic);75,5;637,4;No;0;
6752;Female;No;No;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,1;39,8;No;0;
3301;Female;No;Yes;Yes;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,55;265,3;No;0;
5778;;No;Yes;Yes;53;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);104,05;5566,4;No;0;
773;Male;No;No;No;22;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,75;2095;Yes;1;Don't know
3774;Female;;Yes;No;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);25;1753;No;0;
2552;Female;Yes;No;No;23;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75,4;1643,55;No;0;
1052;Male;No;No;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;24,25;24,25;Yes;1;Lack of self-service on Website
375;Female;No;Yes;No;15;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;84,3;1308,4;Yes;1;Competitor had better devices
4792;Male;No;Yes;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);69,95;69,95;No;0;
4507;Male;No;Yes;Yes;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,5;290,55;No;0;
6280;Male;No;No;No;62;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);19,85;1253,65;No;0;
65;Male;Yes;No;No;13;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;106,9;1364,3;Yes;1;Extra data charges
2300;Female;No;No;No;11;Yes;No;DSL;No;No;Yes;Yes;No;Yes;One year;No;Credit card (automatic);64,9;697,25;No;0;
18;;;No;Yes;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,45;1752,55;Yes;1;Competitor made better offer
985;Male;Yes;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;93,85;196,75;Yes;1;Lack of affordable download/upload speed
6819;Female;No;Yes;No;37;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19,5;805,2;No;0;
5555;Male;Yes;No;No;62;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);110,75;7053,35;No;0;
6955;Male;No;No;No;54;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;No;Credit card (automatic);89,4;4869,5;No;0;
6997;Female;No;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;No;Electronic check;80,7;5617,95;No;0;
6337;Female;No;Yes;Yes;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;18,8;251,25;No;0;
5861;Male;Yes;Yes;No;61;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;One year;Yes;Bank transfer (automatic);85,55;5251,75;No;0;
1477;Male;No;Yes;No;9;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;No;Month-to-month;Yes;Mailed check;94,85;890,6;Yes;1;Don't know
3784;;No;Yes;Yes;44;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,6;780,25;No;0;
66;Male;No;No;No;59;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,35;1099,6;Yes;1;Price too high
5337;Female;No;Yes;No;49;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;Two year;No;Credit card (automatic);106,65;5174,35;No;0;
6719;Male;No;No;No;26;Yes;No;DSL;No;No;No;Yes;Yes;No;One year;No;Credit card (automatic);59,45;1507;No;0;
1415;Male;No;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,9;19,9;Yes;1;Competitor offered more data
515;Male;No;Yes;No;11;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,95;825,7;Yes;1;Attitude of support person
2937;;Yes;No;No;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19,5;106,8;No;0;
4678;Male;No;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);88,7;6301,7;No;0;
5257;;No;No;No;10;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;21,2;222,65;No;0;
5130;Female;No;No;Yes;21;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,75;452,2;No;0;
1544;Male;Yes;No;No;20;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);71,3;1389,2;Yes;1;Attitude of service provider
1193;Female;No;No;No;3;Yes;No;Fiber optic;No;No;No;Yes;No;Yes;Month-to-month;No;Electronic check;85,8;272,2;Yes;1;Extra data charges
142;;No;No;No;35;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,25;3527,6;Yes;1;Competitor offered higher download speeds
4598;Female;No;Yes;No;30;Yes;No;DSL;No;Yes;Yes;Yes;No;Yes;One year;No;Bank transfer (automatic);70,25;2198,9;No;0;
1917;Male;No;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;Yes;Electronic check;78,9;3650,35;No;0;
2728;Female;No;Yes;No;60;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);94,1;5475,9;No;0;
4826;;No;No;No;36;Yes;Yes;DSL;Yes;No;No;No;No;No;One year;No;Mailed check;54,45;1893,5;No;0;
1273;;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,95;137,95;Yes;1;Poor expertise of phone support
3024;Male;No;Yes;No;72;Yes;No;DSL;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);75,4;5480,25;No;0;
6427;Female;No;No;Yes;13;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);104,15;1299,1;No;0;
5479;Female;No;Yes;Yes;38;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,45;781,25;No;0;
6683;Male;Yes;Yes;No;68;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Two year;Yes;Electronic check;41,95;2965,75;No;0;
1810;Female;No;No;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,75;1129,75;Yes;1;Long distance charges
6012;Male;Yes;Yes;No;7;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,85;485,25;No;0;
4731;Female;No;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,95;212,4;No;0;
74;Male;Yes;No;No;8;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;74,5;606,55;Yes;1;Poor expertise of online support
6731;Male;;Yes;Yes;71;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19,7;1301,1;No;0;
2500;;No;No;No;13;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);30,85;394,1;No;0;
3893;;No;No;No;64;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Credit card (automatic);104,65;6889,8;No;0;
5327;Female;Yes;No;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);107,4;7748,75;No;0;
1691;Male;No;Yes;No;41;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;102,6;4213,35;Yes;1;Competitor had better devices
6815;Male;No;Yes;Yes;70;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;84,1;5979,7;No;0;
6358;Female;;No;No;69;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);110,25;7467,55;No;0;
4687;Female;No;Yes;Yes;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,35;1031,7;No;0;
3686;Male;Yes;Yes;No;57;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;One year;Yes;Electronic check;90,65;5199,8;No;0;
2013;;No;Yes;No;69;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);19,75;1375,4;No;0;
5701;;No;Yes;Yes;23;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);91,1;2198,3;No;0;
5536;Male;No;No;No;7;No;No phone service;DSL;No;No;No;No;No;No;One year;Yes;Credit card (automatic);24,35;150,85;No;0;
6076;Female;No;No;No;27;Yes;No;DSL;Yes;Yes;No;No;No;No;Two year;No;Bank transfer (automatic);52,85;1498,65;No;0;
6338;Female;No;Yes;Yes;64;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;24,9;1595,5;No;0;
5199;Male;No;No;Yes;17;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;One year;No;Electronic check;80,85;1445,95;No;0;
1402;Male;No;No;No;26;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;No;Electronic check;89,8;2335,3;Yes;1;Service dissatisfaction
5760;Male;No;Yes;Yes;69;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);86,9;6194,1;No;0;
1236;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,25;20,25;Yes;1;Attitude of support person
6297;Male;No;No;No;5;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;56,15;291,45;No;0;
5922;Male;No;Yes;Yes;60;Yes;No;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Bank transfer (automatic);60,5;3694,45;No;0;
2560;Female;Yes;No;No;22;Yes;No;Fiber optic;Yes;Yes;No;No;No;No;Month-to-month;No;Electronic check;81,7;1820,9;No;0;
1752;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20,1;20,1;Yes;1;Competitor made better offer
1819;Male;No;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,45;95,45;Yes;1;Attitude of support person
4072;Female;No;No;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25,45;1866,45;No;0;
1240;Male;No;No;No;5;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Mailed check;104,1;541,9;Yes;1;Moved
3521;;Yes;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);89,55;6448,85;No;0;
5803;Female;No;Yes;No;55;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Credit card (automatic);66,05;3462,1;No;0;
3304;Male;No;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;One year;No;Electronic check;71,5;4576,3;No;0;
4590;Male;No;Yes;No;50;No;No phone service;DSL;Yes;No;No;Yes;Yes;No;One year;Yes;Bank transfer (automatic);44,45;2188,45;No;0;
4179;Male;No;Yes;No;70;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;One year;Yes;Bank transfer (automatic);95;6602,9;No;0;
6151;Male;No;No;No;65;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;No;Credit card (automatic);105,1;6631,85;No;0;
1924;Male;No;Yes;No;62;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);24,25;1424,6;No;0;
5348;Male;No;Yes;Yes;50;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;108,25;5431,4;No;0;
6554;;No;Yes;No;64;Yes;No;DSL;No;Yes;Yes;Yes;No;Yes;Two year;Yes;Mailed check;68,3;4378,8;No;0;
5153;Male;No;Yes;No;42;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Electronic check;20,25;835,5;No;0;
4415;Male;No;No;No;39;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;No;Credit card (automatic);81,4;3213,75;No;0;
4637;Male;No;No;No;55;Yes;No;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Electronic check;59,2;3175,85;No;0;
2333;Male;No;No;No;50;Yes;Yes;DSL;No;No;Yes;Yes;No;Yes;Two year;No;Bank transfer (automatic);69,5;3418,2;No;0;
711;Male;No;No;No;15;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;51,55;765,5;Yes;1;Attitude of support person
1270;Female;No;No;No;5;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;93,9;486,85;Yes;1;Don't know
6963;Female;No;No;Yes;25;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);20,05;471,7;No;0;
1235;;No;No;No;36;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84,9;3067,2;Yes;1;Attitude of service provider
3235;Male;No;No;No;19;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;18,8;279,2;No;0;
1340;Female;No;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;75,3;75,3;Yes;1;Competitor made better offer
3884;Male;No;No;Yes;27;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,6;581,85;No;0;
4459;Male;No;Yes;Yes;68;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);19,95;1377,7;No;0;
533;Male;No;No;No;5;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75,9;357,75;Yes;1;Competitor offered higher download speeds
5122;Male;No;No;No;24;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;89,55;2187,15;No;0;
3615;Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;44,75;44,75;No;0;
6679;Female;No;No;No;34;Yes;No;DSL;Yes;Yes;No;No;No;Yes;One year;No;Electronic check;64,35;2053,05;No;0;
683;Female;Yes;No;No;33;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;110,45;3655,45;Yes;1;Product dissatisfaction
1772;;Yes;No;No;14;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,3;1096,25;Yes;1;Service dissatisfaction
3123;Male;No;No;No;47;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,45;943;No;0;
5254;;No;Yes;No;33;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;Yes;Month-to-month;Yes;Credit card (automatic);95;3008,15;No;0;
5710;Male;No;Yes;Yes;59;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Two year;Yes;Mailed check;111,1;6555,2;No;0;
3252;Female;No;Yes;No;72;Yes;No;DSL;Yes;Yes;Yes;No;Yes;No;Two year;Yes;Credit card (automatic);70,65;5011,15;No;0;
120;Male;;No;No;5;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;96,1;453,4;Yes;1;Competitor had better devices
6753;Male;No;Yes;Yes;51;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19,4;997,75;No;0;
140;;No;Yes;No;39;Yes;No;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Mailed check;86,3;3266;Yes;1;Poor expertise of phone support
2332;Female;Yes;No;No;44;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);109,8;4860,35;No;0;
2425;Male;Yes;No;No;42;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);79,35;3344,1;No;0;
1949;Female;Yes;Yes;No;66;No;No phone service;DSL;No;Yes;Yes;No;Yes;No;One year;No;Bank transfer (automatic);45,55;3027,25;No;0;
6771;Female;No;No;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;103,65;3988,5;No;0;
2156;;No;No;No;42;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Electronic check;54,75;2348,45;No;0;
4177;Female;;Yes;Yes;26;No;No phone service;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Credit card (automatic);38,85;1025,15;No;0;
1706;Female;No;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;94,4;94,4;Yes;1;Lack of affordable download/upload speed
6523;Female;No;No;No;62;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;Two year;Yes;Credit card (automatic);43,6;2748,7;No;0;
3129;Female;No;No;No;5;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;Yes;Electronic check;82,75;417,75;No;0;
